"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.576121330E2,-1.034954834E1,-2.132606125E1,-2.874019241E1
2.576221260E2,-1.043015289E1,-2.140727234E1,-2.871490860E1
2.576321200E2,-1.052835846E1,-2.133435822E1,-2.873159790E1
2.576421130E2,-1.043101501E1,-2.140433884E1,-2.874717331E1
2.576521070E2,-1.058603668E1,-2.140014267E1,-2.866942215E1
2.576621000E2,-1.051773834E1,-2.143116379E1,-2.864767456E1
2.576720930E2,-1.056923676E1,-2.139252853E1,-2.868505096E1
2.576820870E2,-1.042626190E1,-2.150874710E1,-2.870236969E1
2.576920800E2,-1.018694305E1,-2.158231354E1,-2.891794586E1
2.577020740E2,-1.021322632E1,-2.164485168E1,-2.870779800E1
2.577120670E2,-1.027314758E1,-2.160525131E1,-2.874433136E1
2.577220610E2,-1.020294952E1,-2.156843948E1,-2.860402298E1
2.577320540E2,-1.033010101E1,-2.159817505E1,-2.877770615E1
2.577420480E2,-1.035109711E1,-2.138889694E1,-2.886787415E1
2.577520410E2,-1.041975403E1,-2.142775345E1,-2.880797958E1
2.577620350E2,-1.059388733E1,-2.141235352E1,-2.872323990E1
2.577720280E2,-1.058697510E1,-2.145565033E1,-2.873156738E1
2.577820220E2,-1.058697510E1,-2.145565033E1,-2.873156738E1
2.577920150E2,-1.056649780E1,-2.150419235E1,-2.894561768E1
2.578020090E2,-1.054075623E1,-2.147751236E1,-2.910788345E1
2.578120020E2,-1.032435608E1,-2.141228104E1,-2.903302002E1
2.578219960E2,-1.043275452E1,-2.145552063E1,-2.886576462E1
2.578319890E2,-1.035827637E1,-2.144789505E1,-2.887871552E1
2.578419830E2,-1.058608246E1,-2.148414993E1,-2.914783478E1
2.578519760E2,-1.040924835E1,-2.147968674E1,-2.901727295E1
2.578619700E2,-1.049265289E1,-2.137401581E1,-2.923154449E1
2.578719630E2,-1.050422668E1,-2.133234787E1,-2.908419418E1
2.578819570E2,-1.050186920E1,-2.126422882E1,-2.915031433E1
2.578919500E2,-1.044210815E1,-2.118458557E1,-2.870474625E1
