"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.824307875E0,-3.105167672E-2,-5.169814453E-3,-7.064812817E-3
2.834319875E0,-3.477104753E-2,-1.711089537E-2,-4.879688844E-3
2.844331875E0,-3.334838897E-2,-1.871556416E-2,2.379071433E-3
2.854343875E0,-3.746936470E-2,-1.191917714E-2,3.817977384E-3
2.864355875E0,-3.616321087E-2,-9.452008642E-3,6.921190768E-3
2.874367875E0,-3.796164319E-2,-4.115566611E-3,1.043230295E-2
2.884378875E0,-3.547876328E-2,-1.085605565E-2,1.387797482E-2
2.894390875E0,-2.561042085E-2,-1.680156402E-2,1.529291272E-2
2.904402875E0,-2.173036151E-2,-3.064009547E-2,1.650387049E-2
2.914414875E0,-1.384101249E-2,-4.469785839E-2,1.880164631E-2
2.924426875E0,-8.680073544E-3,-5.403383449E-2,1.931670122E-2
2.934438875E0,-1.859395765E-2,-5.507832766E-2,1.629641093E-2
2.944449875E0,-2.259010263E-2,-4.917277768E-2,1.635428518E-2
2.954461875E0,-2.877103351E-2,-4.407655448E-2,1.651247591E-2
2.964473875E0,-3.008539788E-2,-3.246404603E-2,1.496671140E-2
2.974485875E0,-2.741744369E-2,-3.152048960E-2,1.809272915E-2
2.984497875E0,-2.480442077E-2,-3.464811295E-2,1.724619418E-2
2.994508875E0,-2.154551074E-2,-4.883583635E-2,1.703873649E-2
3.004520875E0,-1.703128405E-2,-6.605391204E-2,1.695770770E-2
3.014532875E0,-1.415480208E-2,-8.275459707E-2,1.292248629E-2
3.024544875E0,-1.461768709E-2,-9.768965840E-2,1.348297950E-2
3.034556875E0,-1.654714718E-2,-1.033123881E-1,6.866622716E-3
3.044568875E0,-2.475700155E-2,-9.859612584E-2,7.443125825E-3
3.054579875E0,-2.814028226E-2,-8.386085182E-2,1.028951257E-2
3.064591875E0,-3.212112933E-2,-6.774771214E-2,1.335036475E-2
3.074603875E0,-3.122337721E-2,-5.158844963E-2,1.017933805E-2
3.084615875E0,-2.916827612E-2,-4.919509590E-2,1.254491601E-2
3.094627875E0,-2.699433826E-2,-5.002067611E-2,1.406638045E-2
3.104639875E0,-2.769941837E-2,-4.702665657E-2,1.512164623E-2
3.114650875E0,-2.664001286E-2,-4.337413236E-2,1.206620038E-2
3.124662875E0,-2.851999551E-2,-4.282172769E-2,1.097548101E-2
3.134674875E0,-2.482273057E-2,-4.746441543E-2,1.099332422E-2
3.144686875E0,-2.421651781E-2,-4.680942744E-2,1.210745797E-2
3.154698875E0,-2.707488835E-2,-3.728756309E-2,2.636191901E-3
3.164709875E0,-2.644715644E-2,-2.436905168E-2,-4.471146967E-4
3.174721875E0,-2.820297703E-2,-3.659245558E-3,-2.827181946E-3
3.184733875E0,-2.853171341E-2,1.366738137E-2,-4.448482767E-3
3.194745875E0,-2.473910712E-2,3.410687670E-2,-7.655727677E-3
3.204757875E0,-1.890410297E-2,3.995616361E-2,-4.331326112E-3
3.214769875E0,-1.214473229E-2,4.495012388E-2,-7.266129367E-3
3.224780875E0,-8.399730548E-3,4.167315364E-2,-7.336690091E-3
3.234792875E0,-2.667276189E-3,3.242160007E-2,-6.413638592E-3
3.244804875E0,1.933213091E-3,2.580713108E-2,-5.593553651E-3
3.254816875E0,1.350651216E-2,2.727240138E-2,-8.932624944E-3
3.264828875E0,1.555470750E-2,3.491102532E-2,-6.711144932E-3
3.274839875E0,1.618587598E-2,4.613118619E-2,-8.955390193E-3
3.284851875E0,1.424541324E-2,5.030705035E-2,-6.343886256E-3
3.294863875E0,1.219824143E-2,4.980557412E-2,-3.343568649E-3
3.304876000E0,1.000857633E-2,4.847232252E-2,-2.839725465E-3
3.314888000E0,7.723050658E-3,4.329753667E-2,-1.960615860E-3
