"Time (s)","X (hPa)"
5.101553490E2,1.015767593E3
5.112220130E2,1.015771103E3
5.122886540E2,1.015778961E3
5.133553050E2,1.015788651E3
5.144219400E2,1.015797424E3
5.154885480E2,1.015800247E3
5.165551870E2,1.015800247E3
5.176218250E2,1.015786057E3
5.186884760E2,1.015773926E3
5.197551150E2,1.015758057E3
5.208217720E2,1.015747528E3
5.218884070E2,1.015735397E3
5.229550650E2,1.015733414E3
5.240216990E2,1.015720367E3
5.250883470E2,1.015710297E3
5.272947095E2,1.015664749E3
5.282947555E2,1.015668335E3
5.292947985E2,1.015670013E3
5.302948335E2,1.015671997E3
5.312948385E2,1.015701141E3
5.334389585E2,1.015755310E3
5.344389805E2,1.015752258E3
5.354389935E2,1.015749130E3
5.364390405E2,1.015735245E3
