"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.482581333E0,-4.797188938E-1,-8.063886166E-1,5.659700036E-1
2.492593333E0,1.007775426E0,-6.574899673E0,-5.783663988E-1
2.502605333E0,5.953740478E-1,-1.578339338E0,-2.039131165E0
2.512617333E0,-2.296317101E0,1.438447237E0,-2.851803064E0
2.522629333E0,-3.831195116E0,-2.493694305E0,-1.872760415E0
2.532642333E0,-4.629040718E0,-5.997124672E0,-1.124765515E0
2.542654333E0,-5.007936954E0,-3.905666590E0,-7.185432315E-1
2.552666333E0,-4.072146416E0,3.737814128E-1,1.389916986E-1
2.562678333E0,-4.293257236E0,-5.231949687E-1,5.975560546E-1
2.572691333E0,-4.206425667E0,-1.896818757E0,-6.746175885E-1
2.582703333E0,-3.740766048E0,-2.974941015E0,-2.644915104E0
2.592715333E0,-4.233355045E0,-5.048539162E0,-3.477748871E0
2.602727333E0,-5.567035198E0,-6.136382103E0,-3.762119532E0
2.612739333E0,-6.741475105E0,-5.059796333E0,-3.364209890E0
2.622752333E0,-6.133956909E0,-3.125302553E0,-2.124249697E0
2.632764333E0,-5.006865025E0,-3.151605368E0,-1.637573838E0
2.642776333E0,-2.831988573E0,-2.488754839E-1,-1.636162400E0
2.652788333E0,8.003298640E-1,1.249544430E1,-1.708901525E-1
2.662801333E0,2.435659468E-1,2.274355888E1,-1.920324564E-1
2.672813333E0,-4.490741730E0,2.011297989E1,-1.636180162E0
2.682825333E0,-7.385844707E0,1.130407143E1,-3.588826656E0
2.692837333E0,-7.530936241E0,6.521327019E0,-4.909514904E0
2.702849333E0,-5.914018631E0,5.740550041E0,-5.133108139E0
2.712862333E0,-2.479730368E0,5.826654911E0,-4.267991543E0
2.722874333E0,-3.383599222E-1,3.571055412E0,-3.534364223E0
2.732886333E0,4.623010457E-1,2.162158191E-1,-3.015025854E0
2.742898333E0,7.622581720E-1,-2.015121222E0,-2.690025091E0
2.752910333E0,8.154526353E-1,-2.688966513E0,-2.673444033E0
2.762923333E0,7.155252695E-1,-2.319691181E0,-2.600234985E0
2.772935333E0,6.624221206E-1,-1.483882666E0,-2.144140959E0
2.782947333E0,8.133575320E-1,-2.610722780E-1,-1.550762177E0
2.792959333E0,1.048970580E0,1.022944212E0,-1.142508149E0
2.802972333E0,1.134343743E0,2.326226473E0,-7.767570019E-1
2.812984333E0,8.588103652E-1,3.569086313E0,-5.417348146E-1
2.822996333E0,5.337709785E-1,4.467596531E0,-4.373971820E-1
2.833008333E0,4.263281822E-1,4.891428471E0,-4.885328412E-1
2.843020333E0,5.384355187E-1,5.239956856E0,-5.319700837E-1
2.853033333E0,5.970323682E-1,5.577759743E0,-4.627552032E-1
2.863045333E0,4.684022069E-1,5.501578331E0,-2.503324151E-1
2.873057333E0,3.239400387E-1,5.172476768E0,8.967857063E-2
2.883069333E0,1.053278074E-1,4.629711628E0,5.740260482E-1
2.893082333E0,-2.693085372E-1,4.180073261E0,1.080447078E0
2.903094333E0,-6.360723972E-1,4.031690598E0,1.463765502E0
2.913106333E0,-7.790881395E-1,3.979155302E0,1.672439456E0
2.923118333E0,-6.669778824E-1,3.659227133E0,1.795953155E0
2.933130333E0,-5.203841925E-1,3.031123638E0,1.891010284E0
