"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.597372304E2,-5.231731415E0,4.616231918E1,-6.071777344E0
6.597472454E2,-4.060832977E0,4.644210434E1,-5.819252014E0
6.597572604E2,-2.748363495E0,4.645880508E1,-5.474689484E0
6.597672754E2,-1.635505676E0,4.656899643E1,-4.595310211E0
6.597772914E2,-9.635925293E-1,4.681171036E1,-4.038333893E0
6.597873064E2,-3.177413940E-1,4.661513901E1,-3.486076355E0
6.597973214E2,4.139709473E-2,4.687763596E1,-3.332805634E0
6.598073364E2,8.936729431E-1,4.674991989E1,-3.720222473E0
6.598173524E2,1.095180511E0,4.683265305E1,-3.567146301E0
6.598273674E2,1.122734070E0,4.701713181E1,-3.818618774E0
6.598373824E2,1.520679474E0,4.680492783E1,-4.238681793E0
6.598473974E2,1.535301208E0,4.671037674E1,-4.839389801E0
6.598574124E2,1.774166107E0,4.679451370E1,-5.693218231E0
6.598674284E2,1.740074158E0,4.682349014E1,-6.674835205E0
6.598774434E2,1.223716736E0,4.657867050E1,-8.038410187E0
6.598874584E2,1.306190491E0,4.600632095E1,-9.312091827E0
6.598974734E2,1.057296753E0,4.594021988E1,-1.040791702E1
6.599074884E2,6.580963135E-1,4.552017593E1,-1.201027679E1
6.599175044E2,9.320068359E-2,4.520544815E1,-1.313495255E1
6.599275194E2,-5.056648254E-1,4.535919571E1,-1.327650452E1
6.599375344E2,-1.264369965E0,4.537650681E1,-1.305651855E1
6.599475494E2,-1.623172760E0,4.561649704E1,-1.177759552E1
6.599575644E2,-1.311752319E0,4.561905289E1,-1.156559753E1
6.599675804E2,-5.247650146E-1,4.585194778E1,-1.130226517E1
6.599775954E2,5.911636353E-2,4.582816696E1,-1.176379776E1
6.599876104E2,5.838661194E-1,4.544398117E1,-1.220563507E1
6.599976254E2,6.483535767E-1,4.552737045E1,-1.280921173E1
6.600076404E2,5.913963318E-1,4.548295212E1,-1.283224487E1
6.600176564E2,-1.402702332E-1,4.563886642E1,-1.262836075E1
6.600276714E2,-9.951934814E-1,4.588274002E1,-1.179993820E1
6.600376864E2,-1.505443573E0,4.557265854E1,-1.103078461E1
6.600477014E2,-1.647006989E0,4.587237930E1,-1.066005707E1
6.600577174E2,-1.380111694E0,4.559859848E1,-1.095275879E1
6.600677324E2,-1.248741150E0,4.546822739E1,-1.174136734E1
6.600777474E2,-5.543174744E-1,4.545245743E1,-1.230612946E1
6.600877624E2,7.293701172E-3,4.526698685E1,-1.264075851E1
6.600977774E2,3.528709412E-1,4.563970566E1,-1.241173935E1
6.601077934E2,6.332359314E-1,4.550593185E1,-1.228053665E1
6.601178084E2,8.105239868E-1,4.558142471E1,-1.133107758E1
6.601278234E2,1.111820221E0,4.597383499E1,-1.025376892E1
6.601378384E2,1.518642426E0,4.615634537E1,-9.318580627E0
6.601478534E2,1.690635681E0,4.666596603E1,-7.781684875E0
6.601578694E2,1.912899017E0,4.662974930E1,-6.862865448E0
6.601678844E2,2.248817444E0,4.692982101E1,-5.502510071E0
6.601778994E2,2.737899780E0,4.728631210E1,-4.086551666E0
6.601879144E2,2.844490051E0,4.705604935E1,-3.592639923E0
6.601979304E2,3.173938751E0,4.711705399E1,-3.265327454E0
6.602079454E2,3.024177551E0,4.686610031E1,-3.456432343E0
6.602179604E2,3.233558655E0,4.689276505E1,-3.526618958E0
6.602279754E2,3.158317566E0,4.670758438E1,-3.785121918E0
6.602379904E2,3.345191956E0,4.681509781E1,-4.635147095E0
6.602480064E2,3.613105774E0,4.668679428E1,-5.775241852E0
6.602580214E2,3.704956055E0,4.648144150E1,-6.424526215E0
6.602680364E2,3.505256653E0,4.649915695E1,-6.762722015E0
6.602780514E2,3.394527435E0,4.649900436E1,-7.460414886E0
6.602880664E2,3.348419189E0,4.637400436E1,-7.855701447E0
6.602980824E2,3.336036682E0,4.659458542E1,-8.045402527E0
6.603080974E2,3.130752563E0,4.619783401E1,-8.599979401E0
6.603181124E2,3.204334259E0,4.613274002E1,-9.182502747E0
6.603281274E2,3.036460876E0,4.602850723E1,-9.697048187E0
6.603381434E2,2.839397430E0,4.591168594E1,-1.053844070E1
6.603481584E2,2.801891327E0,4.581922531E1,-1.123535156E1
6.603581734E2,2.810440063E0,4.552266312E1,-1.204113007E1
6.603681884E2,2.763454437E0,4.559183121E1,-1.286954498E1
6.603782034E2,2.548976898E0,4.521429825E1,-1.413127899E1
6.603882194E2,2.084644318E0,4.495677567E1,-1.452507401E1
6.603982344E2,1.551544189E0,4.511275864E1,-1.460771179E1
6.604082494E2,1.193309784E0,4.486848831E1,-1.493829727E1
6.604182644E2,1.025215149E0,4.471557236E1,-1.509104919E1
6.604282804E2,4.389419556E-1,4.442487717E1,-1.579016113E1
6.604382954E2,-7.366180420E-3,4.419704056E1,-1.619675446E1
6.604483104E2,-2.527847290E-1,4.420930099E1,-1.605687714E1
6.604583254E2,-9.188423157E-1,4.397703934E1,-1.636755371E1
6.604683404E2,-1.305881500E0,4.390457535E1,-1.599398041E1
6.604783564E2,-1.585212708E0,4.447195816E1,-1.598328400E1
6.604883714E2,-1.463508606E0,4.430764389E1,-1.571630859E1
6.604983864E2,-1.797447205E0,4.481560135E1,-1.551409149E1
6.605084014E2,-2.056602478E0,4.467683029E1,-1.532226562E1
6.605184174E2,-2.428726196E0,4.459173965E1,-1.522144318E1
6.605284324E2,-2.920230865E0,4.496509171E1,-1.459953690E1
6.605384474E2,-3.324253082E0,4.498020554E1,-1.384196854E1
6.605484624E2,-3.501583099E0,4.525019455E1,-1.290795517E1
6.605584774E2,-3.908241272E0,4.530054092E1,-1.228306580E1
6.605684934E2,-3.956085205E0,4.570737076E1,-1.115325546E1
6.605785084E2,-3.524993896E0,4.609820938E1,-1.029914093E1
6.605885234E2,-2.689018250E0,4.616732407E1,-8.924915314E0
6.605985384E2,-1.407749176E0,4.655385971E1,-7.397518158E0
6.606085544E2,-3.923416138E-2,4.661086655E1,-6.216316223E0
6.606185694E2,1.590446472E0,4.677988815E1,-4.989467621E0
6.606285844E2,3.057819366E0,4.689500809E1,-3.514789581E0
6.606385994E2,4.813423157E0,4.684019089E1,-2.110874176E0
6.606486144E2,6.290447235E0,4.664252090E1,-2.398757935E-1
6.606586304E2,7.489339828E0,4.620868301E1,7.124366760E-1
6.606686454E2,8.166255951E0,4.613436508E1,1.859817505E0
6.606786604E2,9.005771637E0,4.620972061E1,2.131465912E0
6.606886754E2,9.586879730E0,4.586472702E1,2.703865051E0
6.606986914E2,1.025252533E1,4.580839920E1,2.808364868E0
6.607087064E2,1.146531677E1,4.541150284E1,3.119552612E0
6.607187214E2,1.213407135E1,4.502959824E1,3.223968506E0
6.607287364E2,1.304764366E1,4.502488327E1,3.285072327E0
6.607387513E2,1.388118172E1,4.462968826E1,3.193958282E0
6.607487673E2,1.496324730E1,4.414274979E1,3.343532562E0
6.607587823E2,1.563352585E1,4.376572037E1,3.449951172E0
6.607687973E2,1.632554436E1,4.358605576E1,4.366191864E0
6.607788123E2,1.682671738E1,4.338372421E1,4.802490234E0
6.607888283E2,1.752672768E1,4.285378647E1,6.168338776E0
6.607988433E2,1.816396141E1,4.257329941E1,7.010162354E0
6.608088583E2,1.852771950E1,4.194630814E1,8.320457458E0
6.608188733E2,1.879889679E1,4.148052597E1,9.444137573E0
6.608288883E2,1.928779411E1,4.119218063E1,1.075041580E1
6.608389043E2,1.973719406E1,4.051347733E1,1.175743103E1
6.608489193E2,1.988449478E1,4.030890274E1,1.223407364E1
6.608589343E2,1.980705070E1,3.969131088E1,1.327921677E1
6.608689493E2,1.958851051E1,3.957024002E1,1.379527664E1
6.608789653E2,1.914398003E1,3.971380234E1,1.433321762E1
6.608889803E2,1.918435669E1,3.928349686E1,1.404924774E1
6.608989953E2,1.916290474E1,3.944388199E1,1.466438675E1
6.609090103E2,1.905689621E1,3.930717850E1,1.455989075E1
6.609190263E2,1.870065308E1,3.977769852E1,1.419176483E1
6.609290413E2,1.820814323E1,4.038526535E1,1.377359390E1
6.609390563E2,1.782106018E1,4.049832535E1,1.316545486E1
6.609490713E2,1.699276352E1,4.140382004E1,1.244027710E1
6.609590863E2,1.652845192E1,4.162566757E1,1.177650452E1
6.609691023E2,1.579784584E1,4.237400436E1,1.082031250E1
6.609791173E2,1.500874138E1,4.296886063E1,9.594856262E0
6.609891323E2,1.427650642E1,4.319395065E1,8.630428314E0
6.609991473E2,1.354459572E1,4.345345688E1,8.155231476E0
6.610091633E2,1.245248413E1,4.399345779E1,7.843135834E0
6.610191783E2,1.195315170E1,4.410835648E1,8.158279419E0
6.610291933E2,1.111625481E1,4.420333481E1,9.411998749E0
6.610392083E2,1.107094193E1,4.386672592E1,1.020677948E1
6.610492243E2,1.096064186E1,4.395729446E1,1.066513062E1
6.610592393E2,1.104278564E1,4.367182541E1,1.078845215E1
6.610692543E2,1.117412376E1,4.386621475E1,1.047210312E1
6.610792693E2,1.107573128E1,4.397459793E1,9.536426544E0
6.610892843E2,1.089050484E1,4.384099197E1,9.045448303E0
6.610993003E2,1.076888657E1,4.410229111E1,9.238059998E0
6.611093153E2,1.054402733E1,4.421084976E1,9.254444122E0
6.611193303E2,1.037271500E1,4.437897110E1,9.295261383E0
6.611293453E2,1.051230240E1,4.458260727E1,9.336406708E0
6.611393613E2,1.051497078E1,4.419707870E1,9.027843475E0
6.611493763E2,1.070812607E1,4.454250717E1,8.732410431E0
6.611593913E2,1.099791336E1,4.470814896E1,7.268547058E0
6.611694063E2,1.059484673E1,4.487018204E1,6.601982117E0
6.611794223E2,1.032204437E1,4.485918045E1,6.251373291E0
6.611894373E2,1.009715652E1,4.490768814E1,5.867912292E0
6.611994523E2,9.982860565E0,4.508514023E1,6.366378784E0
6.612094673E2,9.975131989E0,4.490620804E1,6.603107452E0
6.612194833E2,9.757133484E0,4.493323898E1,6.937435150E0
6.612294983E2,9.470710754E0,4.495331192E1,7.331771851E0
6.612395133E2,9.501497269E0,4.474802780E1,8.313114166E0
6.612495283E2,9.694749832E0,4.453323746E1,9.094856262E0
6.612595433E2,9.414182663E0,4.451882553E1,9.789409637E0
6.612695593E2,9.036542892E0,4.440513229E1,1.061033249E1
6.612795743E2,8.980587006E0,4.448749161E1,1.096823120E1
6.612895893E2,8.655628204E0,4.406956863E1,1.122269821E1
6.612996043E2,7.973405838E0,4.409717178E1,1.151361847E1
6.613096203E2,7.536577225E0,4.413007736E1,1.164242554E1
6.613196353E2,7.196474075E0,4.423295212E1,1.144483948E1
6.613296503E2,6.923471451E0,4.440632248E1,1.108218384E1
6.613396653E2,6.543159485E0,4.411876297E1,1.114256668E1
6.613496813E2,6.247468948E0,4.429133987E1,1.089224243E1
6.613596963E2,5.785663605E0,4.425985336E1,1.092208099E1
6.613697113E2,5.229597092E0,4.463772202E1,1.078728867E1
6.613797263E2,4.720245361E0,4.513748550E1,1.071464920E1
6.613897423E2,4.077617645E0,4.489992905E1,1.034408569E1
6.613997573E2,3.420146942E0,4.501836777E1,1.006344223E1
6.614097723E2,3.142051697E0,4.483041763E1,9.622161865E0
6.614197873E2,2.613948822E0,4.503081131E1,9.410594940E0
6.614298023E2,2.099990845E0,4.542581558E1,8.718715668E0
6.614398183E2,1.725875854E0,4.521252060E1,8.503623962E0
6.614498333E2,1.321174622E0,4.542110062E1,7.966873169E0
6.614598483E2,1.395961761E0,4.542100906E1,7.891712189E0
6.614698633E2,6.522865295E-1,4.578541946E1,7.354549408E0
6.614798793E2,5.279388428E-1,4.586016464E1,6.607749939E0
6.614898943E2,1.855659485E-1,4.545736313E1,6.597236633E0
6.614999093E2,-4.129943848E-1,4.566593552E1,6.333965302E0
6.615099243E2,-1.034400940E0,4.546600723E1,6.266162872E0
6.615199403E2,-1.527889252E0,4.574101639E1,5.640525818E0
6.615299553E2,-1.975669861E0,4.604087448E1,4.615993500E0
6.615399703E2,-2.330501556E0,4.573447037E1,4.554153442E0
6.615499853E2,-2.562244415E0,4.597352219E1,4.180625916E0
6.615600013E2,-2.479095459E0,4.604794693E1,3.788032532E0
6.615700163E2,-2.823856354E0,4.618871689E1,3.894222260E0
6.615800313E2,-3.036651611E0,4.633968735E1,4.176746368E0
6.615900463E2,-3.077041626E0,4.597057724E1,4.174880981E0
6.616000623E2,-3.449127197E0,4.583062363E1,4.516304016E0
6.616100773E2,-3.474773407E0,4.555585861E1,5.140209198E0
6.616200923E2,-3.278594971E0,4.593510056E1,5.979778290E0
6.616301073E2,-3.218364716E0,4.587224960E1,7.050395966E0
6.616401233E2,-2.533882141E0,4.540610123E1,8.168823242E0
6.616501383E2,-2.182266235E0,4.523638535E1,9.582023621E0
6.616601533E2,-1.737060547E0,4.489918900E1,1.040274429E1
6.616701683E2,-1.035579681E0,4.478248215E1,1.157651138E1
6.616801843E2,8.142471313E-2,4.447920609E1,1.267412949E1
6.616901993E2,1.373794556E0,4.355354691E1,1.389891052E1
6.617002143E2,2.629371643E0,4.318397903E1,1.511874390E1
6.617102293E2,3.589534760E0,4.240030289E1,1.650386810E1
6.617202453E2,4.266193390E0,4.187115860E1,1.823582077E1
6.617302603E2,4.694107056E0,4.131969833E1,1.940344620E1
6.617402752E2,4.762493134E0,4.061628342E1,2.027030945E1
6.617502902E2,4.979099274E0,4.032229233E1,2.100557327E1
6.617603052E2,5.409446716E0,3.960465622E1,2.187202263E1
6.617703212E2,5.992113113E0,3.922233200E1,2.248032379E1
6.617803362E2,6.680307388E0,3.899627304E1,2.317739677E1
6.617903512E2,7.738067627E0,3.849719620E1,2.324869537E1
6.618003662E2,8.554996490E0,3.827285385E1,2.358735275E1
6.618103822E2,9.368209839E0,3.761211014E1,2.379132652E1
6.618203972E2,9.925260544E0,3.731154251E1,2.412187576E1
6.618304122E2,1.031833267E1,3.709467697E1,2.455928230E1
6.618404272E2,1.040144157E1,3.658330917E1,2.498701859E1
6.618504432E2,1.069471931E1,3.634881973E1,2.529157829E1
6.618604582E2,1.083862114E1,3.575309372E1,2.594393539E1
6.618704732E2,1.129931831E1,3.514587784E1,2.669453812E1
6.618804882E2,1.141259956E1,3.494121170E1,2.713869095E1
6.618905042E2,1.151852417E1,3.397491074E1,2.766124153E1
6.619005192E2,1.143206596E1,3.354714584E1,2.814640617E1
6.619105342E2,1.121640778E1,3.299245834E1,2.897799301E1
6.619205492E2,1.101316643E1,3.260490036E1,2.973998070E1
6.619305652E2,1.086617088E1,3.229293442E1,2.995025635E1
6.619405802E2,1.052407837E1,3.169916916E1,3.056056404E1
6.619505952E2,1.021895218E1,3.163106155E1,3.138447380E1
6.619606102E2,9.733524323E0,3.124251938E1,3.091445923E1
6.619706262E2,9.220029831E0,3.142075729E1,3.111727333E1
6.619806412E2,8.707118988E0,3.180293655E1,3.095868492E1
6.619906562E2,8.430158615E0,3.214673996E1,3.103435516E1
6.620006712E2,7.942081451E0,3.294944382E1,3.041904259E1
6.620106872E2,7.468605042E0,3.329485703E1,2.986404228E1
6.620207022E2,6.905025482E0,3.409882736E1,2.910769081E1
6.620307172E2,6.234979630E0,3.518399429E1,2.814246559E1
6.620407322E2,5.250926971E0,3.579625320E1,2.700234413E1
6.620507482E2,4.498836517E0,3.683611679E1,2.589706612E1
6.620607632E2,3.575038910E0,3.758783340E1,2.497298813E1
6.620707782E2,2.695701599E0,3.808929825E1,2.407522202E1
6.620807932E2,2.078338623E0,3.835708237E1,2.425815010E1
6.620908092E2,1.275608063E0,3.774351883E1,2.499059486E1
6.621008242E2,4.091148376E-1,3.783084488E1,2.549056816E1
6.621108392E2,-3.796730042E-1,3.736924362E1,2.560919952E1
6.621208542E2,-1.994819641E-1,3.754773331E1,2.513497543E1
6.621308702E2,-1.428489685E-1,3.801721573E1,2.473871040E1
6.621408852E2,-7.518768311E-2,3.819476700E1,2.435340118E1
6.621509002E2,1.180496216E-1,3.858353806E1,2.423985291E1
6.621609152E2,3.379974365E-1,3.855119705E1,2.434919357E1
6.621709312E2,5.338935852E-1,3.841606522E1,2.421125603E1
6.621809462E2,1.675449371E0,3.859913254E1,2.423859596E1
6.621909612E2,2.889060974E0,3.856811142E1,2.351016045E1
6.622009772E2,3.770629883E0,3.904716110E1,2.294614792E1
6.622109922E2,4.019489288E0,3.926457596E1,2.221504593E1
6.622210072E2,3.878025055E0,3.952619553E1,2.200060463E1
6.622310222E2,3.495128632E0,3.959820938E1,2.175510216E1
6.622410382E2,3.019790649E0,3.936909103E1,2.234809303E1
6.622510532E2,2.423130035E0,3.926366806E1,2.284229088E1
6.622610682E2,1.967239380E0,3.872428513E1,2.334896851E1
6.622710832E2,1.160980225E0,3.828286362E1,2.407709312E1
6.622810992E2,2.744140625E-1,3.789459610E1,2.467145920E1
6.622911142E2,-2.869338989E-1,3.738051224E1,2.543059731E1
6.623011292E2,-1.021938324E0,3.705161667E1,2.637067032E1
6.623111442E2,-1.808822632E0,3.652865219E1,2.660309601E1
6.623211602E2,-2.200828552E0,3.650792313E1,2.671898079E1
6.623311752E2,-2.797866821E0,3.668394089E1,2.647497940E1
6.623411902E2,-2.696624756E0,3.685310745E1,2.599764824E1
6.623512052E2,-2.931232452E0,3.745750046E1,2.535838127E1
6.623612212E2,-3.121913910E0,3.753786087E1,2.500823593E1
6.623712362E2,-3.292449951E0,3.792747116E1,2.450144768E1
6.623812512E2,-3.817348480E0,3.816456985E1,2.369695663E1
6.623912662E2,-4.019069672E0,3.866448593E1,2.319702339E1
6.624012822E2,-4.028453827E0,3.923154831E1,2.269416046E1
6.624112972E2,-4.277225494E0,3.943709946E1,2.181370926E1
6.624213122E2,-4.684589386E0,3.971667099E1,2.112167168E1
6.624313272E2,-4.950241089E0,4.038952255E1,2.034878349E1
6.624413432E2,-5.565326691E0,4.040992355E1,1.964299583E1
6.624513582E2,-5.859794617E0,4.068463516E1,1.880458450E1
6.624613732E2,-6.226688385E0,4.086886215E1,1.816853333E1
6.624713882E2,-6.740142822E0,4.119916916E1,1.791488457E1
6.624814042E2,-7.319786072E0,4.149390030E1,1.699036217E1
6.624914192E2,-7.836372375E0,4.144536209E1,1.600580597E1
6.625014342E2,-8.757110596E0,4.163012314E1,1.556852341E1
6.625114502E2,-9.526069641E0,4.135280228E1,1.504171371E1
6.625214652E2,-9.957214355E0,4.145906448E1,1.484309387E1
6.625314802E2,-1.058475494E1,4.147169113E1,1.472380829E1
6.625414952E2,-1.094600677E1,4.132928085E1,1.441116333E1
6.625515112E2,-1.172216415E1,4.144602585E1,1.430325317E1
6.625615262E2,-1.253147125E1,4.107352829E1,1.385788727E1
6.625715412E2,-1.289964294E1,4.136040115E1,1.335429001E1
6.625815562E2,-1.339679337E1,4.133175278E1,1.288018417E1
6.625915722E2,-1.338035202E1,4.106957626E1,1.306361389E1
6.626015872E2,-1.332121277E1,4.110429001E1,1.352234268E1
6.626116022E2,-1.300339508E1,4.093613052E1,1.340584946E1
6.626216172E2,-1.279027939E1,4.109582901E1,1.418264008E1
6.626316332E2,-1.250867462E1,4.085064316E1,1.468656540E1
6.626416482E2,-1.249436188E1,4.038765335E1,1.534116364E1
6.626516632E2,-1.222517014E1,4.023839188E1,1.615494919E1
6.626616782E2,-1.234822083E1,3.973740005E1,1.702039909E1
6.626716942E2,-1.208739853E1,3.968359756E1,1.785121155E1
6.626817092E2,-1.168115616E1,3.925056839E1,1.869122505E1
